Catálogo de Livros da Ateliê Editoral,,,,
,,,,
Lista gerada em 29/06/2020 - 22:28:52,,,,
,,,,
,,,,
Titulo,Isbn,Autor,Assunto,Valor
Travessias - D. João VI e o Mundo Lusófono,978-85-7480-665-5,Paulo Motta Oliveira,"Crítica literária, Literatura portuguesa, História","R$67,00"
"Trágica História do Dr. Fausto, A",978-85-7480-815-4,"Christopher Marlowe, Luís Bueno","Teatro, Literatura clássica, Bilíngue","R$128,00"
Tripé,85-85851-77-5,Rodrigo Lacerda,"Literatura brasileira, Contos","R$46,00"
Triste Fim de Policarpo Quaresma,978-85-7480-704-1,"Gustavo Martins, Lima Barreto, Ivan Teixeira","Literatura brasileira, Romance, Ilustrado","R$38,00"
Tropicália: Alegoria Alegria,85-85851-03-1,Celso Favaretto,"Música, Crítica musical","R$53,00"
TV Digital.Br: Conceitos e Estudos sobre o ISDB-Tb,978-85-7480-455-2,"S. Squirra, Valdecir Becker","Comunicação, Televisão, Ilustrado","R$48,00"
Um Amor Literário,85-7480-305-7,Letícia Malard,"Literatura brasileira, Romance","R$38,00"
Um Canto,85-85851-33-3,Cacá Moreira de Souza,"Literatura brasileira, Poesia","R$52,00"
Um Lance de Dados,978-85-7480-767-6,"Álvaro Faleiros, Stéphane Mallarmé","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$52,00"
Uma Lua em Paris,85-85851-17-1,M. A. Amaral Rezende,"Ilustrado, Literatura brasileira, Romance","R$38,00"
"Urna, A",85-7480-019-8,David Oscar Vaz,"Literatura brasileira, Contos","R$38,00"
Vanguardas: Brasil & Itália,85-7480-157-7,Lúcia Wataghin,"Crítica literária, Arquitetura, Cultura","R$54,00"
Várias Histórias,978-85-7480-441-5,"José de Paula Ramos Jr., Machado de Assis","Literatura brasileira, Contos, Ilustrado","R$38,00"
Velho é o Espelho,978-85-7480-372-2,Maria de Lourdes Ferreira Alves,"Literatura brasileira, Poesia","R$46,00"
"Velho Chico ou A Vida é Amável, O",85-85851-57-0,Dirce de Assis Cavalcanti,Memória,"R$48,00"
Velhos Amigos,978-85-7480-841-3,Ecléa Bosi,"Literatura brasileira, Memória, Contos, Crônicas, Ilustrado","R$43,00"
Vermelho,85-7480-039-2,Aguinaldo Gonçalves,"Ilustrado, Literatura brasileira, Poesia","R$56,00"
Viagem a um Deserto Interior,978-85-7480-711-9,Leila Guenther,"Literatura brasileira, Poesia, Ilustrado","R$42,00"
"Viagem ao Egito, Jordânia e Israel",85-7480-241-7,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$28,00"
Viagem de Joseph Língua,978-85-7480-448-4,Pedro Américo de Farias,"Literatura brasileira, Romance","R$27,00"
Viagem Magnética,978-85-7480-687-7,Décio Pignatari,"Literatura brasileira, Teatro","R$32,00"
Viagens na Minha Terra,978-85-7480-592-4,"Ivan Teixeira, Almeida Garrett","Romance, Literatura portuguesa, Ilustrado","R$38,00"
Vida e Morte de M. J. Gonzaga de Sá,978-85-7480-765-2,"Marcos Scheffel, Lima Barreto","Ilustrado, Literatura brasileira, Romance","R$41,00"
Vidas de Dante - Escritos Biográficos dos Séculos XIV e XV,978-85-7480-533-7,Eduardo Henrik Aubert,"Biografia, História","R$40,50"
Vitrola dos Ausentes,85-7480-269-7,Paulo Ribeiro,"Literatura brasileira, Romance","R$36,00"
Viva Vaia - Poesia 1949-1979,978-85-7480-688-4,Augusto de Campos,"Literatura brasileira, Poesia, Poesia concreta, Ilustrado","R$160,00"
Vocabulário Português-Nheengatu - Nheengatu-Português,978-85-7480-638-9,E. Stradelli,"Dicionário, Linguística","R$83,00"
"Voo Noturno das Galinhas, O",85-7480-323-5,Leila Guenther,"Literatura brasileira, Contos","R$38,00"
"Voz e o Tempo, A - Reflexões para Jovens Terapeutas",978-85-7480-552-8,Roberto Gambini,"Psicanálise e Psicologia, Ilustrado","R$68,00"
"Voz na Canção Popular Brasileira, A - Um Estudo sobre a Vanguarda Paulista",978-85-7480-543-6,Regina Machado,"Música, Crítica musical","R$31,00"
"Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil",978-85-7480-718-8,Pedro Henrique Varoni de Carvalho,"Música, Crítica musical","R$62,00"
Vão-se os Dias e Eu Fico,978-85-7480-451-4,Edson Nery da Fonseca,"Memória, Biblioteconomia, Ilustrado","R$39,00"
William Morris - Sobre as Artes do Livro,978-85-7480-845-1,"William Morris, Gustavo Piqueira","Editoração, Livros sobre livros, Ilustrado, Design, Artes gráficas","R$160,00"
Wright  Artigas - Duas Viagens,85-7480-086-4,Adriana Irigoyen,"Arquitetura, Ilustrado","R$78,00"
Yaser,978-85-7480-813-0,Eda Nagayama,"Romance, Ilustrado, Bilíngue, Literatura, Política","R$45,00"
Zé Ferino,85-85851-98-8,Rodrigo Penteado,"Literatura brasileira, Romance, Ilustrado","R$34,00"
